beta,gamma,rho,source_distance,kernel_weight
0.15119637453944137,0.08090218358601305,0.30495299957017186,0.2648036650932391,0.6970846960742647
0.15547713808063404,0.07929042798493471,0.29955429885199647,0.2656889532597464,0.6967302931345474
0.14944222001251536,0.08150164504594933,0.30122996483399034,0.266927429528411,0.6962325153375897
0.15608439444833289,0.079638315056748,0.3060252671054028,0.2679864363739658,0.695805035205928
0.1514345920515314,0.08264880123634737,0.3021443653926397,0.2687103636841094,0.6955118397211231
0.15672937342606721,0.08335007868893789,0.30811200060767396,0.2689922907535458,0.6953974433445415
0.1573364531331132,0.08042256651524217,0.30752552470221567,0.2699095273483302,0.6950244300304955
0.15474164244584995,0.0829701449269282,0.3066178390691126,0.2699819544552052,0.6949949219523974
0.15312074712074408,0.07926952280039129,0.3047987376153487,0.2700495447640886,0.6949673773292611
0.15888454433255858,0.08122071828211667,0.30815684130778165,0.2702071069351931,0.6949031403085298
0.15090908690995478,0.0815788118141765,0.30218233989710686,0.2702826441050323,0.69487233103319
