beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1546483411744439,0.0762559648355888,0.2929307172129182,0.2113864174776013,0.689,8.55,12.13925,78.2,98.4,5.45,522.425,0.9369402985074624
0.1605699191408724,0.0775567833774925,0.3209413255039675,0.2120437223772336,0.674,8.9,11.656125,75.95,106.45,5.7,560.575,0.93818407960199
0.1539682586949364,0.0814283855668373,0.311334687247,0.2123866673532781,0.65025,9.0,11.2125,73.85,100.85,5.9,559.75,0.9349502487562188
0.1554304841162211,0.0766009504833653,0.3143855771857484,0.2132138463529894,0.679875,9.025,12.192749999999998,77.075,100.275,5.75,563.95,0.93681592039801
0.1607368345344494,0.0764720814743475,0.316439488802383,0.2133582297153687,0.678375,8.575,11.996624999999998,79.2,103.4,5.5,548.675,0.940174129353234
0.1578547666257645,0.087958967703963,0.2943165665189297,0.2156123789621302,0.6391249999999999,8.875,10.363874999999998,70.675,95.4,5.475,521.375,0.9345771144278608
0.1578675170697247,0.0766806385429733,0.3184159324574688,0.2173421753599839,0.682625,8.75,12.036749999999998,76.65,103.525,5.675,557.15,0.9404228855721392
0.156146157165388,0.086477046041314,0.30732302610708,0.2180770829073341,0.661125,8.4,10.686125,70.275,100.325,5.225,537.275,0.9386815920398012
0.1616444152433456,0.0792717370544002,0.3010208918334747,0.2184585156351686,0.669875,8.475,11.6515,73.0,97.75,5.25,516.575,0.9406716417910448
0.1612497060894403,0.0813200831352774,0.322897987782743,0.2186462452649324,0.6655,8.575,11.414625,75.775,105.525,5.25,570.375,0.9389303482587064
0.1560363582986396,0.086456167835756,0.3191391378130426,0.2203668138147676,0.635875,8.8,10.500249999999998,71.9,101.8,5.725,566.025,0.9345771144278606
0.1668427766807529,0.0782604175824308,0.3159327137934284,0.2205746882743354,0.6756249999999999,8.425,11.771624999999998,75.525,103.05,5.3,537.175,0.9411691542288558
0.1512619471138159,0.0820168141619201,0.2803453444059826,0.2210868958705076,0.6585,8.775,11.05075,70.25,93.1,5.65,508.475,0.9356965174129354
0.1495095949606547,0.082760218340843,0.2846378670629729,0.2216900215924364,0.661375,8.825,11.242375,74.75,93.925,5.875,520.9,0.9339552238805968
0.1609852079575212,0.0845008886222301,0.3259956348208392,0.2222447373033844,0.6526249999999999,8.725,10.759375,70.3,105.925,5.425,567.15,0.9386815920398012
0.1595742047943769,0.0842315851255349,0.2999721698586486,0.222574187976396,0.650875,8.475,10.674499999999998,70.275,98.8,5.275,517.575,0.9388059701492536
0.1599852666037376,0.0757880248512959,0.2983539118730642,0.2227696824820925,0.683875,8.625,11.994875,72.475,99.425,5.3,521.65,0.940547263681592
0.1518973975130406,0.0864719862556252,0.3024699294447378,0.2234406101773804,0.63925,8.8,10.431625,68.425,96.85,5.6,549.225,0.9343283582089552
